,PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,YEAR_BUILD,YEAR_SOLD,AGE_OF_HOUSE
0,P03210,Karapakkam,1004,2011-04-05,131,1.0,1.0,3,AbNormal,Yes,1967-05-15,Commercial,AllPub,Paved,A,4.0,3.9,4.9,4.33,380000,144400,7600000,1967,2011,44
1,P09411,Anna Nagar,1986,2006-12-19,26,2.0,1.0,5,AbNormal,No,1995-12-22,Commercial,AllPub,Gravel,RH,4.9,4.2,2.5,3.765,760122,304049,21717770,1995,2006,11
2,P01812,Adyar,909,2012-04-02,70,1.0,1.0,3,AbNormal,Yes,1992-09-02,Commercial,ELO,Gravel,RL,4.1,3.8,2.2,3.09,421094,92114,13159200,1992,2012,20
3,P05346,Velachery,1855,2010-03-13,14,3.0,2.0,5,Family,No,1988-03-18,Others,NoSeWa,Paved,I,4.7,3.9,3.6,4.01,356321,77042,9630290,1988,2010,22
4,P06210,Karapakkam,1226,2009-05-10,84,1.0,1.0,3,AbNormal,Yes,1979-10-13,Others,AllPub,Gravel,C,3.0,2.5,4.1,3.29,237000,74063,7406250,1979,2009,30
5,P00219,Chrompet,1220,2014-11-09,36,2.0,1.0,4,Partial,No,2009-12-09,Commercial,NoSeWa,No Access,RH,4.5,2.6,3.1,3.32,409027,198316,12394750,2009,2014,5
6,P09105,Chrompet,1167,2007-05-04,137,1.0,1.0,3,Partial,No,1979-12-04,Others,AllPub,No Access,RL,3.6,2.1,2.5,2.67,263152,33955,8488790,1979,2007,28
7,P09679,Velachery,1847,2006-03-13,176,3.0,2.0,5,Family,No,1996-03-15,Commercial,AllPub,Gravel,RM,2.4,4.5,2.1,3.26,604809,235204,16800250,1996,2006,10
8,P03377,Chrompet,771,2011-06-04,175,1.0,1.0,2,AdjLand,No,1977-04-14,Others,NoSeWa,Paved,RM,2.9,3.7,4.0,3.55,257578,33236,8308970,1977,2011,34
9,P09623,Velachery,1635,2006-06-22,74,2.0,1.0,4,AbNormal,No,1991-06-26,Others,ELO,No Access,I,3.1,3.1,3.3,3.16,323346,121255,8083650,1991,2006,15
10,P09540,Chrompet,1203,2006-10-19,78,2.0,1.0,4,AdjLand,Yes,1978-10-26,Commercial,AllPub,No Access,RM,4.0,3.2,4.5,3.83,403326,119504,14938000,1978,2006,28
11,P07121,Chrompet,1054,2009-02-16,143,1.0,1.0,3,Partial,No,1972-02-26,Others,NoSeWa,Gravel,RM,2.2,3.1,3.3,2.89,245693,141746,9449730,1972,2009,37
12,P05512,Chrompet,1196,2010-11-02,137,1.0,1.0,3,Family,No,1991-02-16,Others,NoSeWa,No Access,RL,2.1,2.5,2.1,2.26,289554,35097,8774370,1991,2010,19
13,P09370,Adyar,1056,2007-01-01,83,1.0,1.0,3,Partial,Yes,1981-07-01,Others,NoSeWa,Paved,RH,2.2,3.4,3.7,3.19,319141,37546,9386490,1981,2007,26
14,P04085,Velachery,1865,2010-11-11,157,3.0,2.0,5,Family,No,1956-11-24,Commercial,NoSeWa,Paved,RM,4.8,2.2,4.9,3.66,619987,294494,15499680,1956,2010,54
15,P06328,Velachery,1868,2009-12-09,148,3.0,2.0,5,Family,No,2000-09-14,Commercial,NoSeWa,Gravel,RH,3.8,3.8,3.1,3.5032537884152344,597135,188569,15714080,2000,2009,9
16,P06039,Karapakkam,1639,2009-04-11,175,2.0,2.0,4,Normal Sale,Yes,1991-09-11,House,ELO,Gravel,I,2.3,3.2,4.8,3.57,285648,77904,8656000,1991,2009,18
17,P02016,Chrompet,796,2011-12-25,134,1.0,1.0,2,AdjLand,Yes,1975-03-01,Commercial,AllPub,No Access,RL,3.5,4.6,4.7,4.3,316464,130951,10912550,1975,2011,36
