,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,SALES_PRICE,AGE_OF_HOUSE
0,4,1004,131,1.0,1.0,3,0,1,0,0,2,0,4.0,3.9,4.9,4.33,7600000,44
1,1,1986,26,2.0,1.0,5,0,0,0,0,0,3,4.9,4.2,2.5,3.765,21717770,11
2,0,909,70,1.0,1.0,3,0,1,0,1,0,4,4.1,3.8,2.2,3.09,13159200,20
3,6,1855,14,3.0,2.0,5,2,0,2,2,2,2,4.7,3.9,3.6,4.01,9630290,22
4,4,1226,84,1.0,1.0,3,0,1,2,0,0,1,3.0,2.5,4.1,3.29,7406250,30
5,2,1220,36,2.0,1.0,4,4,0,0,2,1,3,4.5,2.6,3.1,3.32,12394750,5
6,2,1167,137,1.0,1.0,3,4,0,2,0,1,4,3.6,2.1,2.5,2.67,8488790,28
7,6,1847,176,3.0,2.0,5,2,0,0,0,0,5,2.4,4.5,2.1,3.26,16800250,10
8,2,771,175,1.0,1.0,2,1,0,2,2,2,5,2.9,3.7,4.0,3.55,8308970,34
9,6,1635,74,2.0,1.0,4,0,0,2,1,1,2,3.1,3.1,3.3,3.16,8083650,15
10,2,1203,78,2.0,1.0,4,1,1,0,0,1,5,4.0,3.2,4.5,3.83,14938000,28
11,2,1054,143,1.0,1.0,3,4,0,2,2,0,5,2.2,3.1,3.3,2.89,9449730,37
12,2,1196,137,1.0,1.0,3,2,0,2,2,1,4,2.1,2.5,2.1,2.26,8774370,19
13,0,1056,83,1.0,1.0,3,4,1,2,2,2,3,2.2,3.4,3.7,3.19,9386490,26
14,6,1865,157,3.0,2.0,5,2,0,0,2,2,5,4.8,2.2,4.9,3.66,15499680,54
15,6,1868,148,3.0,2.0,5,2,0,0,2,0,3,3.8,3.8,3.1,3.5032537884152344,15714080,9
