,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,AGE_OF_HOUSE,OVERALL_PRICE
0,4,1004,131,1.0,1.0,3,0,1,0,0,2,0,4.0,3.9,4.9,4.33,44,8124400
1,1,1986,26,2.0,1.0,5,0,0,0,0,0,3,4.9,4.2,2.5,3.765,11,22781941
2,0,909,70,1.0,1.0,3,0,1,0,1,0,4,4.1,3.8,2.2,3.09,20,13672408
3,6,1855,14,3.0,2.0,5,2,0,2,2,2,2,4.7,3.9,3.6,4.01,22,10063653
4,4,1226,84,1.0,1.0,3,0,1,2,0,0,1,3.0,2.5,4.1,3.29,30,7717313
5,2,1220,36,2.0,1.0,4,4,0,0,2,1,3,4.5,2.6,3.1,3.32,5,13002093
6,2,1167,137,1.0,1.0,3,4,0,2,0,1,4,3.6,2.1,2.5,2.67,28,8785897
7,6,1847,176,3.0,2.0,5,2,0,0,0,0,5,2.4,4.5,2.1,3.26,10,17640263
8,2,771,175,1.0,1.0,2,1,0,2,2,2,5,2.9,3.7,4.0,3.55,34,8599784
9,6,1635,74,2.0,1.0,4,0,0,2,1,1,2,3.1,3.1,3.3,3.16,15,8528251
10,2,1203,78,2.0,1.0,4,1,1,0,0,1,5,4.0,3.2,4.5,3.83,28,15460830
11,2,1054,143,1.0,1.0,3,4,0,2,2,0,5,2.2,3.1,3.3,2.89,37,9837169
12,2,1196,137,1.0,1.0,3,2,0,2,2,1,4,2.1,2.5,2.1,2.26,19,9099021
13,0,1056,83,1.0,1.0,3,4,1,2,2,2,3,2.2,3.4,3.7,3.19,26,9743177
14,6,1865,157,3.0,2.0,5,2,0,0,2,2,5,4.8,2.2,4.9,3.66,54,16414161
15,6,1868,148,3.0,2.0,5,2,0,0,2,0,3,3.8,3.8,3.1,3.5032537884152344,9,16499784
16,4,1639,175,2.0,2.0,4,3,1,1,1,0,2,2.3,3.2,4.8,3.57,18,9019552
17,2,796,134,1.0,1.0,2,1,1,0,0,1,4,3.5,4.6,4.7,4.3,36,11359965
18,0,1136,69,1.0,1.0,3,3,1,2,0,2,0,4.6,2.6,2.9,3.35,30,8660489
19,1,1902,168,2.0,1.0,5,2,1,0,1,2,4,4.5,4.9,4.9,4.76,42,22157385
20,2,1069,53,1.0,1.0,3,0,1,2,2,2,5,2.8,2.7,4.9,3.39,4,11232696
21,2,931,96,1.0,1.0,3,0,1,2,1,2,4,4.2,3.1,3.1,3.43,22,9461549
22,3,2010,114,3.0,2.0,5,4,0,2,2,0,3,3.4,4.5,3.4,3.73,10,11515372
23,2,1074,100,1.0,1.0,3,0,0,2,2,0,4,3.0,3.4,4.9,3.73,16,10002847
24,5,1972,111,2.0,1.0,5,1,0,2,2,1,3,4.1,4.4,2.8,3.59,5,14577130
25,5,1685,105,1.0,1.0,4,2,0,1,2,0,5,2.8,4.4,4.0,3.74,34,13130325
26,0,1130,29,1.0,1.0,3,2,1,0,1,2,3,2.3,2.5,2.2,2.29,30,13905300
27,4,1301,59,1.0,1.0,3,3,1,2,2,0,1,2.8,2.7,3.8,3.17,7,8368365
28,0,730,185,1.0,1.0,2,1,1,1,1,0,4,2.7,4.6,4.9,4.18,39,9166824
29,5,1806,138,2.0,1.0,5,2,0,1,2,2,3,4.1,5.0,3.0,3.83,35,11882434
30,1,1981,173,2.0,1.0,5,1,0,1,1,1,4,2.0,3.1,3.2,2.755,9,13464561
31,0,868,15,1.0,1.0,3,3,0,2,2,0,4,2.3,2.1,2.0,2.11,10,9439900
32,5,1721,117,1.0,1.0,4,1,1,2,1,2,5,2.0,2.8,2.9,2.605,20,15513979
33,6,1755,16,2.0,1.0,4,1,1,2,0,0,0,4.8,4.5,4.5,4.58,19,10702831
34,1,1709,130,1.0,1.0,4,2,0,2,2,0,3,4.8,3.2,4.3,4.2,6,13471591
35,3,2114,46,3.0,2.0,5,1,1,0,2,0,3,2.7,3.0,3.9,3.27,21,18478191
36,4,1226,180,1.0,1.0,3,3,0,1,0,2,0,4.0,3.7,4.7,4.19,27,5239698
37,6,1648,111,2.0,1.0,4,2,1,2,2,2,1,4.3,2.9,2.0,2.98,13,9528316
38,2,856,36,1.0,1.0,3,1,1,2,2,0,5,2.1,3.6,3.5,3.12,26,10819523
39,0,904,52,1.0,1.0,3,1,0,0,1,1,5,3.8,3.2,2.6,3.08,40,11972645
40,2,1198,105,1.0,1.0,3,3,0,2,0,1,3,3.9,3.4,4.4,3.85,36,8603978
41,4,931,16,1.0,1.0,3,1,0,0,0,2,0,4.0,4.2,2.4,3.42,18,7402837
42,4,1290,86,1.0,1.0,3,1,1,1,0,2,3,3.1,2.1,4.1,3.2,48,8201955
43,4,507,49,1.0,1.0,2,0,1,1,1,0,3,2.6,4.6,4.6,4.0,46,6054496
44,3,2492,113,4.0,2.0,6,0,0,0,2,2,4,4.3,4.6,3.8,4.19,16,19867776
45,4,851,105,1.0,1.0,2,4,0,1,0,1,1,4.0,3.8,2.5,3.34,29,3779441
46,5,1882,189,2.0,1.0,5,0,1,2,1,0,5,3.9,4.5,4.7,3.5032537884152344,21,16757850
47,1,1710,15,1.0,1.0,4,3,1,0,0,0,3,2.7,4.0,2.2,2.825,11,21186337
48,4,1412,28,2.0,2.0,4,1,0,1,1,0,4,4.1,2.9,3.1,3.34,28,8823087
49,0,779,51,1.0,1.0,2,3,0,1,2,1,1,3.6,4.4,2.4,3.16,9,5512842
